id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Old Block Memories,Corner Cipher,hip-hop,nostalgic,0.58,92,0.52,0.74,0.34
12,Winter Garden Suite,Clara Westwood,classical,peaceful,0.22,68,0.62,0.28,0.97
13,Dusty Highway Waltz,Willow Creek,country,romantic,0.48,96,0.73,0.51,0.81
14,Iron Horizon,Black Anvil,metal,aggressive,0.96,168,0.31,0.44,0.04
15,Sunrise on the Bay,Island Pulse,reggae,uplifting,0.67,104,0.88,0.85,0.52
16,Blue Hour Letters,Delta Smoke,blues,melancholic,0.39,74,0.38,0.47,0.83
17,Moonlit Meadow,Harbor Folk,folk,dreamy,0.33,82,0.68,0.49,0.91
18,Velvet Midnight,River Soul,r&b,soulful,0.55,88,0.76,0.71,0.42
